"vname","x.mni","y.mni","z.mni","anat_label","hemi","X7_networks"
77,-36.7705,-46.3274,43.3197,"Left Inferior Parietal Lobule","L","DorsAttn"
78,-31.164,-59.9988,53.669,"Left Superior Parietal Lobule","L","DorsAttn"
79,-42.6097,-35.9968,50.9617,"Left Postcentral Gyrus","L","DorsAttn"
80,-40.9383,-49.5033,57.4945,"Left Inferior Parietal Lobule","L","DorsAttn"
81,-15.0265,-71.1835,59.4605,"Left Precuneus","L","DorsAttn"
82,-32.5119,-59.9458,64.3898,"Left Superior Parietal Lobule","L","DorsAttn"
83,-8.52643,-57.7571,65.9879,"Left Precuneus","L","DorsAttn"
84,-23.7267,-55.6819,68.2543,"Left Superior Parietal Lobule","L","DorsAttn"
85,-17.375,-51.875,73.475,"Left Superior Parietal Lobule","L","DorsAttn"
86,-43.0871,-5.4051,53.4985,"Left Precentral Gyrus","L","DorsAttn"
87,-27.0624,-3.3358,57.379,"Left Precentral Gyrus","L","DorsAttn"
88,-31.3651,-8.72124,53.2089,"Left Precentral Gyrus","L","DorsAttn"
89,-21.9339,0.284637,68.0512,"Left Superior Frontal Gyrus","L","DorsAttn"
90,-52.1162,6.6077,26.4391,"Left Precentral Gyrus","L","DorsAttn"
91,-52.7892,2.18733,39.7669,"Left Precentral Gyrus","L","DorsAttn"
92,-57.6974,-34.6149,24.5825,"Left SupraMarginal Gyrus","L","SalVentAttn"
93,-60.5398,-47.2188,28.1596,"Left SupraMarginal Gyrus","L","SalVentAttn"
94,-63.6387,-24.2683,33.6843,"Left SupraMarginal Gyrus","L","SalVentAttn"
95,-64.0381,-38.515,33.4647,"Left SupraMarginal Gyrus","L","SalVentAttn"
96,-58.3139,-54.7738,10.16,"Left Middle Temporal Gyrus","L","SalVentAttn"
97,-46.1045,6.00363,-16.2073,"Left Temporal Pole","L","SalVentAttn"
98,-40.6423,2.39615,-4.40385,"Left Insula Lobe","L","SalVentAttn"
99,-35.1214,24.9786,-1.20715,"Left Inferior Frontal Gyrus (p. Triangularis)","L","SalVentAttn"
100,-41.6911,-13.9532,-1.40443,"Left Superior Temporal Gyrus","L","SalVentAttn"
101,-35.4236,19.4971,7.9241,"Left Insula Lobe","L","SalVentAttn"
102,-38.6577,4.77884,11.1664,"Left Insula Lobe","L","SalVentAttn"
103,-46.7594,11.4877,1.9434,"Left Inferior Frontal Gyrus (p. Opercularis)","L","SalVentAttn"
104,-52.7467,1.16666,5.14555,"Left Rolandic Operculum","L","SalVentAttn"
105,-54.4559,8.51149,14.181,"Left Inferior Frontal Gyrus (p. Opercularis)","L","SalVentAttn"
106,-34.103,42.2655,29.3814,"Left Middle Frontal Gyrus","L","SalVentAttn"
107,-6.98846,21.9551,31.6624,"Left Middle Cingulate Cortex","L","SalVentAttn"
108,-7.57038,2.74904,41.3107,"Left Middle Cingulate Cortex","L","SalVentAttn"
109,-12.1515,-28.2707,42.8298,"Left Middle Cingulate Cortex","L","SalVentAttn"
110,-6.65722,9.37,49.6378,"Left SMA","L","SalVentAttn"
111,-13.2569,-42.4695,50.1521,"Left Middle Cingulate Cortex","L","SalVentAttn"
112,-6.53608,-49.9817,59.1962,"Left Precuneus","L","SalVentAttn"
113,-7.268,-3.71701,71.682,"Left SMA","L","SalVentAttn"
114,-13.8368,25.1696,-21.0422,"Left Superior Orbital Gyrus","L","Limbic"
115,-25.3273,23.4212,-20.302,"Left Inferior Frontal Gyrus (p. Orbitalis)","L","Limbic"
116,-12.9814,46.5027,-21.6601,"Left Superior Orbital Gyrus","L","Limbic"
117,-5.09163,24.7295,-20.3946,"Left Rectal Gyrus","L","Limbic"
118,-16.7202,64.5411,-9.6301,"Left Superior Orbital Gyrus","L","Limbic"
120,-28.2192,5.50127,-35.6254,"Left Temporal Pole","L","Limbic"
121,-28.0135,-6.81012,-32.0573,"Left ParaHippocampal Gyrus","L","Limbic"
122,-56.5368,-27.1708,-28.5662,"Within 1 mm: Left Inferior Temporal Gyrus","L","Limbic"
123,-43.2084,-23.9665,-25.479,"Left Inferior Temporal Gyrus","L","Limbic"
124,-46.0147,13.0961,-32.6901,"Left Medial Temporal Pole","L","Limbic"
125,-33.9271,11.2936,-29.1165,"Left Temporal Pole","L","Limbic"
126,-21.85,-21.1861,-25.0779,"Left ParaHippocampal Gyrus","L","Limbic"
127,-31.119,-75.2815,42.725,"Left Inferior Parietal Lobule","L","FPN"
128,-62.2005,-40.2966,44.0481,"Within 2 mm: Left Inferior Parietal Lobule","L","FPN"
129,-55.9257,-51.6267,44.3209,"Within 1 mm: Left Inferior Parietal Lobule","L","FPN"
130,-36.1863,-63.7473,49.5554,"Left Inferior Parietal Lobule","L","FPN"
131,-44.9242,-52.5371,49.8661,"Left Inferior Parietal Lobule","L","FPN"
132,-50.4542,-39.0564,48.6127,"Left Inferior Parietal Lobule","L","FPN"
133,-62.5043,-50.8869,-8.85819,"Left Middle Temporal Gyrus","L","FPN"
134,-29.2706,49.8121,-14.6401,"Left Inferior Frontal Gyrus (p. Orbitalis)","L","FPN"
135,-44.815,49.0321,-8.71565,"Left Middle Orbital Gyrus","L","FPN"
136,-51.5106,32.9486,9.99163,"Left Inferior Frontal Gyrus (p. Triangularis)","L","FPN"
137,-42.1707,49.3484,7.38697,"Left Middle Frontal Gyrus","L","FPN"
138,-30.8782,57.5629,10.221,"Left Middle Frontal Gyrus","L","FPN"
139,-45.2201,36.5311,21.3654,"Left Middle Frontal Gyrus","L","FPN"
140,-47.0053,18.7406,29.4922,"Left Inferior Frontal Gyrus (p. Triangularis)","L","FPN"
141,-41.5963,6.62682,35.0957,"Left Precentral Gyrus","L","FPN"
142,-41.0005,28.7223,41.4156,"Left Middle Frontal Gyrus","L","FPN"
143,-35.0905,16.9455,-9.13378,"Left Insula Lobe","L","FPN"
144,-10.7306,-79.2975,45.9392,"Left Precuneus","L","FPN"
145,-5.75,-65.108,53.566,"Left Precuneus","L","FPN"
