"vname","x.mni","y.mni","z.mni","anat_label","hemi","X7_networks"
338,61.0692,-30.656,-19.4018,"Right Inferior Temporal Gyrus","R","FPN"
339,61.9302,-43.8171,-11.1205,"Right Inferior Temporal Gyrus","R","FPN"
340,33.3843,21.409,-9.01642,"Right Insula Lobe","R","FPN"
341,25.7929,54.894,-14.8971,"Right Middle Orbital Gyrus","R","FPN"
342,40.7568,52.4385,-9.92356,"Right Middle Orbital Gyrus","R","FPN"
343,25.1049,61.6411,-2.92999,"Right Superior Orbital Gyrus","R","FPN"
344,48.4278,41.35,0.550003,"Right Inferior Frontal Gyrus (p. Triangularis)","R","FPN"
345,40.6823,48.4943,12.0066,"Right Middle Frontal Gyrus","R","FPN"
346,49.1067,31.3813,16.9272,"Right Inferior Frontal Gyrus (p. Triangularis)","R","FPN"
347,47.8971,17.5914,23.9551,"Right Inferior Frontal Gyrus (p. Triangularis)","R","FPN"
348,23.658,58.2433,20.8149,"Right Middle Frontal Gyrus","R","FPN"
349,46.7576,29.9685,28.0118,"Right Inferior Frontal Gyrus (p. Triangularis)","R","FPN"
350,39.2875,9.52499,35.45,"Right Inferior Frontal Gyrus (p. Opercularis)","R","FPN"
351,37.6917,31.5484,39.9976,"Right Middle Frontal Gyrus","R","FPN"
352,43.4852,17.1951,45.6632,"Right Middle Frontal Gyrus","R","FPN"
353,42.2537,4.64018,52.9868,"Right Middle Frontal Gyrus","R","FPN"
354,33.115,13.0429,58.4494,"Right Middle Frontal Gyrus","R","FPN"
355,22.7764,4.6273,62.2856,"Right Superior Frontal Gyrus","R","FPN"
356,12.6849,-71.9687,38.9091,"Right Cuneus","R","FPN"
357,4.26459,-65.6531,43.4198,"Right Precuneus","R","FPN"
358,5.67812,-26.1698,29.1406,"Within 1 mm: Right Middle Cingulate Cortex","R","FPN"
359,3.79501,3.62,30.9375,"Right Middle Cingulate Cortex","R","FPN"
360,6.37077,34.4981,26.4877,"Right Anterior Cingulate Cortex","R","FPN"
361,4.21025,24.8579,50.4069,"Right Superior Medial Gyrus","R","FPN"
362,52.5209,-49.8462,25.1401,"Right Angular Gyrus","R","Default"
363,46.8647,-68.1899,22.0027,"Right Middle Temporal Gyrus","R","Default"
364,51.6376,-57.9653,29.1067,"Right Angular Gyrus","R","Default"
365,54.5306,-47.4595,37.1152,"Right SupraMarginal Gyrus","R","Default"
366,44.3146,-69.4458,42.5151,"Right Angular Gyrus","R","Default"
367,47.7219,9.62459,-34.3158,"Right Medial Temporal Pole","R","Default"
368,60.4221,-9.21005,-23.0607,"Right Middle Temporal Gyrus","R","Default"
369,46.4124,17.1583,-21.4648,"Right Temporal Pole","R","Default"
370,54.2266,-3.91847,-14.6104,"Right Middle Temporal Gyrus","R","Default"
371,62.9604,-26.4674,-6.00518,"Right Middle Temporal Gyrus","R","Default"
372,48.5738,-21.7968,-6.13174,"Within 1 mm: Right Superior Temporal Gyrus","R","Default"
373,62.8961,-41.1081,2.18504,"Right Middle Temporal Gyrus","R","Default"
374,50.3743,-35.5724,4.2,"Right Middle Temporal Gyrus","R","Default"
375,33.0447,23.3491,-18.627,"Right Insula Lobe","R","Default"
376,33.437,38.2381,-14.0943,"Right Middle Orbital Gyrus","R","Default"
377,46.4705,31.8333,-10.0617,"Right Inferior Frontal Gyrus (p. Orbitalis)","R","Default"
378,52.9608,24.164,5.75713,"Right Inferior Frontal Gyrus (p. Triangularis)","R","Default"
379,3.95223,38.8979,-12.1711,"Right Mid Orbital Gyrus","R","Default"
380,6.90714,66.4357,-4.12142,"Right Mid Orbital Gyrus","R","Default"
381,6.51213,41.9021,3.4787,"Right Anterior Cingulate Cortex","R","Default"
382,6.072,54.9376,9.12659,"Right Superior Medial Gyrus","R","Default"
383,14.9411,67.8488,9.56667,"Right Superior Medial Gyrus","R","Default"
384,5.11111,25.6361,18.6176,"Right Anterior Cingulate Cortex","R","Default"
385,4.90263,59.5443,26.8772,"Right Superior Medial Gyrus","R","Default"
386,14.6277,54.7503,35.1255,"Right Superior Frontal Gyrus","R","Default"
387,3.78455,43.1423,41.2384,"Right Superior Medial Gyrus","R","Default"
388,25.2729,32.7894,42.4747,"Right Middle Frontal Gyrus","R","Default"
389,12.6248,36.9952,54.5385,"Right Superior Medial Gyrus","R","Default"
390,22.5994,21.6814,55.6722,"Right Superior Frontal Gyrus","R","Default"
391,10.5096,15.3406,65.9855,"Right SMA","R","Default"
392,11.8627,-54.7912,16.6819,"Right Precuneus","R","Default"
393,6.23421,-43.8447,21.0263,"Right Posterior Cingulate Cortex","R","Default"
394,15.2991,-63.425,28.6375,"Right Precuneus","R","Default"
395,4.90707,-52.4819,24.4605,"Right Precuneus","R","Default"
396,3.31931,-64.1307,31.8261,"Left Precuneus","R","Default"
397,6.03111,-39.9608,36.6811,"Right Middle Cingulate Cortex","R","Default"
398,2.783,-20.3805,38.608,"Right Middle Cingulate Cortex","R","Default"
399,8.09742,-53.7686,36.7675,"Right Precuneus","R","Default"
400,5.78671,-51.5825,47.1293,"Right Precuneus","R","Default"
401,-25.4643,-4.66001,-21.9543,"Left Hippocampus","L","Limbic"
402,25.2681,-3.4014,-21.8347,"Right Hippocampus","R","Limbic"
403,-20.125,-6.02084,-14.9667,"Left Amygdala","L","Limbic"
404,19.3409,-5.03637,-15.0364,"Right Hippocampus","R","Limbic"
405,-10.075,-14.0875,7.3875,"Left Thalamus","L","FPN"
406,-17.7891,-16.5266,8.225,"Left Thalamus","L","SomMot"
407,-20.7288,-27.2,4.68875,"Left Thalamus","L","DorsAttn"
408,-10.8808,-23.0695,10.3583,"Left Thalamus","L","Default"
409,8.88574,-12.8993,6.6485,"Right Thalamus","R","FPN"
410,17.3219,-15.6641,7.18282,"Right Thalamus","R","SomMot"
411,19.5011,-26.05,4.22447,"Right Thalamus","R","DorsAttn"
412,9.64308,-20.0362,10.9855,"Right Thalamus","R","Default"
413,-31.2911,-9.18952,3.32822,"Left Putamen","L","SomMot"
414,-26.9124,1.65952,5.65424,"Left Putamen","L","SalVentAttn"
415,-13.1429,11.6653,-8.30918,"Left Putamen","L","Limbic"
416,-20.7082,4.739,5.39894,"Left Putamen","L","FPN"
417,-16.4807,11.2367,1.71553,"Left Putamen","L","Default"
418,29.3363,-6.50001,1.24608,"Right Putamen","R","SomMot"
419,24.8941,3.77267,3.8521,"Right Putamen","R","SalVentAttn"
420,10.58,12.8487,-7.875,"Right Caudate Nucleus","R","Limbic"
421,17.8166,7.50571,5.84238,"Within 1 mm: Right Pallidum","R","FPN"
422,10.9042,16.9434,1.47048,"Right Caudate Nucleus","R","Default"
