"","estimate","estimate1","estimate2","statistic","p.value","parameter","conf.low","conf.high","method","alternative","nodename","nodenum","metric","term","std.error","community.membership","community.name"
"1",0.462060005435506,0.747671643688555,0.285611638253049,3.24796823432531,0.0016927372763206,80.9683810002339,0.179003075813084,0.745116935057928,"Welch Two Sample t-test","two.sided","Left Caudate Nucleus","V228","central",NA,NA,4,"CO"
"2",-0.640073343202397,-0.311269623322642,0.328803719879755,-3.43203999639399,0.000951652748416118,79.8530972900674,-1.01122942628973,-0.268917260115069,"Welch Two Sample t-test","two.sided","Left Middle Occipital Gyrus","V171","central",NA,NA,3,"OCC"
"3",-0.472000815894112,-0.378410439027204,0.0935903768669083,-3.42236724392928,0.00109391268744995,63.1864732451569,-0.747588976448647,-0.196412655339577,"Welch Two Sample t-test","two.sided","Left Postcentral Gyrus","V42","central",NA,NA,1,"SOMMOTOR"
"4",-0.630489633111226,-0.0466436017931163,0.58384603131811,-3.66419846048737,0.000456105233527112,76.2386543526541,-0.973174501269534,-0.287804764952918,"Welch Two Sample t-test","two.sided","Right Medial Temporal Pole","V82","central",NA,NA,4,"CO"
"5",0.471473452099416,0.598210279600642,0.126736827501226,3.04467758305811,0.00314663911700837,80.5341051325261,0.163340151077811,0.779606753121021,"Welch Two Sample t-test","two.sided","Right Putamen","V230","central",NA,NA,1,"SOMMOTOR"
"6",0.565241778259027,0.735398901569814,0.170157123310787,2.97557344645452,0.00394317280822064,74.3583247367033,0.186767283958605,0.943716272559449,"Welch Two Sample t-test","two.sided","Within 1 mm: Left Middle Cingulate Cortex","V14","central",NA,NA,1,"SOMMOTOR"
"7",-0.401690942799108,0.0788222923736514,0.480513235172759,-2.90231960290574,0.00489063090530448,73.2288025514996,-0.677514031062791,-0.125867854535425,"Welch Two Sample t-test","two.sided","Left Anterior Cingulate Cortex","V107","integration",NA,NA,5,"DMN"
"8",-1.10909228464757,-1.42223321082689,-0.313140926179321,-3.37162840569227,0.00127728270464554,63.3899800221135,-1.76636437895285,-0.4518201903423,"Welch Two Sample t-test","two.sided","Left Middle Occipital Gyrus","V149","integration",NA,NA,3,"OCC"
"9",0.350822173154004,0.101228479354916,-0.249593693799088,3.01702302476541,0.00351358920742057,72.9177564142332,0.119070256430633,0.582574089877374,"Welch Two Sample t-test","two.sided","Right Middle Cingulate Cortex","V216","integration",NA,NA,1,"SOMMOTOR"
"10",-0.535734022650981,-0.597442281875472,-0.0617082592244903,-2.91926437681153,0.00481673027121197,64.9753400043786,-0.902244994426403,-0.16922305087556,"Welch Two Sample t-test","two.sided","Right SMA","V31","integration",NA,NA,1,"SOMMOTOR"
"11",-0.529472327781409,-0.587458195059385,-0.0579858672779761,-2.88683011142866,0.00498759968302128,80.9927422176859,-0.894400376768584,-0.164544278794233,"Welch Two Sample t-test","two.sided","Left Anterior Cingulate Cortex","V107","within.mod",NA,NA,5,"DMN"
"12",0.739296273510313,0.450566742654927,-0.288729530855386,3.44443050433035,0.000914454902460049,79.8649794403746,0.312147386496895,1.16644516052373,"Welch Two Sample t-test","two.sided","Left Cerebellum","V183","within.mod",NA,NA,2,"FPN/DA"
"13",0.517184483422878,1.24976269524584,0.732578211822961,2.98402195201355,0.00380394974535746,77.4809693492007,0.172098595733058,0.862270371112698,"Welch Two Sample t-test","two.sided","Right Precuneus","V95","within.mod",NA,NA,5,"DMN"
"14",0.0674519087988379,NA,NA,2.66851395575733,0.00924230980395355,NA,NA,NA,NA,NA,"Left Superior Medial Gyrus","V98","central","age",0.0252769556079368,4,"CO"
"15",0.111799976003306,NA,NA,3.60262195520896,0.000548844744324579,NA,NA,NA,NA,NA,"Right Middle Frontal Gyrus","V196","central","age",0.0310329469462252,2,"FPN/DA"
"16",-0.116490764263641,NA,NA,-2.96550903958293,0.00400822029848047,NA,NA,NA,NA,NA,"Left Middle Occipital Gyrus","V147","integration","age",0.0392818779874717,3,"OCC"
"17",-0.0536795749229743,NA,NA,-2.70178306561341,0.00843787823854185,NA,NA,NA,NA,NA,"Left Precentral Gyrus","V187","integration","age",0.0198682031900245,2,"FPN/DA"
"18",-0.225252787111642,NA,NA,-2.91774311696489,0.0046190844036377,NA,NA,NA,NA,NA,"Left Superior Occipital Gyrus","V155","integration","age",0.0772010345262868,3,"OCC"
"19",-0.152783991473054,NA,NA,-2.91096384867673,0.00474170956575819,NA,NA,NA,NA,NA,"Right Cuneus","V159","integration","age",0.0524857055653598,3,"OCC"
"20",-0.0462278135812043,NA,NA,-2.69787021236962,0.00852906130255512,NA,NA,NA,NA,NA,"Right Middle Frontal Gyrus","V196","integration","age",0.0171349286445477,2,"FPN/DA"
"21",-0.0478690100196166,NA,NA,-2.69053497440858,0.00870242055633479,NA,NA,NA,NA,NA,"Right Putamen","V230","integration","age",0.0177916326957017,1,"SOMMOTOR"
"22",-0.0534870750792661,NA,NA,-3.89529456063653,0.000205794004500794,NA,NA,NA,NA,NA,"Within 1 mm: Left Insula Lobe","V57","integration","age",0.0137312016451269,1,"SOMMOTOR"
"23",0.0889590381584432,NA,NA,2.90695573861115,0.00473475889585918,NA,NA,NA,NA,NA,"Left Hippocampus","V6","within.mod","age",0.030602130254981,5,"DMN"
"24",0.0745054873206018,NA,NA,2.65543281594315,0.00957726732871837,NA,NA,NA,NA,NA,"Right Postcentral Gyrus","V19","within.mod","age",0.0280577564882353,1,"SOMMOTOR"
"25",-0.121779072497519,NA,NA,-4.47587983426082,2.52673747401548e-05,NA,NA,NA,NA,NA,"Right Precuneus","V95","within.mod","age",0.0272078511950556,5,"DMN"
