"roi"	"label"	"coordinates"
63	"Left Precuneus"	"-13 mm [L],  -46 mm [P],   75 mm [S] {MNI}"
64	"Left Paracentral Lobule"	"-4 mm [L],  -30 mm [P],   73 mm [S] {MNI}"
65	"Left Paracentral Lobule"	"-10 mm [L],  -18 mm [P],   78 mm [S] {MNI}"
66	"Left Postcentral Gyrus"	"-19 mm [L],  -33 mm [P],   75 mm [S] {MNI}"
67	"Left Postcentral Gyrus"	"-24 mm [L],  -39 mm [P],   77 mm [S] {MNI}"
68	"Left Paracentral Lobule"	"-12 mm [L],  -32 mm [P],   78 mm [S] {MNI}"
69	"Left Inferior Temporal Gyrus"	"-48 mm [L],  -45 mm [P],  -21 mm [I] {MNI}"
70	"Left Inferior Temporal Gyrus"	"-52 mm [L],  -58 mm [P],  -15 mm [I] {MNI}"
71	"Left Middle Temporal Gyrus"	"-56 mm [L],  -66 mm [P],   -2 mm [I] {MNI}"
72	"Left Middle Temporal Gyrus"	"-50 mm [L],  -72 mm [P],   10 mm [S] {MNI}"
73	"Left Middle Occipital Gyrus"	"-30 mm [L],  -75 mm [P],   30 mm [S] {MNI}"
74	"Within 1 mm: Left Inferior Parietal Lobule"	"-61 mm [L],  -32 mm [P],   45 mm [S] {MNI}"
75	"Left Superior Parietal Lobule"	"-25 mm [L],  -68 mm [P],   53 mm [S] {MNI}"
76	"Left Inferior Parietal Lobule"	"-51 mm [L],  -29 mm [P],   44 mm [S] {MNI}"
77	"Left Inferior Parietal Lobule"	"-40 mm [L],  -47 mm [P],   45 mm [S] {MNI}"
78	"Left Superior Parietal Lobule"	"-34 mm [L],  -62 mm [P],   56 mm [S] {MNI}"
79	"Left Inferior Parietal Lobule"	"-46 mm [L],  -35 mm [P],   52 mm [S] {MNI}"
80	"Left Inferior Parietal Lobule"	"-45 mm [L],  -48 mm [P],   59 mm [S] {MNI}"
81	"Left Precuneus"	"-14 mm [L],  -71 mm [P],   62 mm [S] {MNI}"
82	"Within 1 mm: Left Superior Parietal Lobule"	"-36 mm [L],  -59 mm [P],   66 mm [S] {MNI}"
83	"Left Precuneus"	"-11 mm [L],  -57 mm [P],   69 mm [S] {MNI}"
84	"Within 1 mm: Left Superior Parietal Lobule"	"-29 mm [L],  -53 mm [P],   72 mm [S] {MNI}"
85	"Left Superior Parietal Lobule"	"-21 mm [L],  -53 mm [P],   75 mm [S] {MNI}"
86	"Left Precentral Gyrus"	"-45 mm [L],   -8 mm [P],   54 mm [S] {MNI}"
87	"Left Middle Frontal Gyrus"	"-28 mm [L],   -6 mm [P],   59 mm [S] {MNI}"
88	"Left Precentral Gyrus"	"-33 mm [L],  -10 mm [P],   55 mm [S] {MNI}"
89	"Left Superior Frontal Gyrus"	"-21 mm [L],   -4 mm [P],   72 mm [S] {MNI}"
90	"Left Precentral Gyrus"	"-54 mm [L],    7 mm [A],   27 mm [S] {MNI}"
