"roi"	"label"	"coordinates"
274	"Right Middle Occipital Gyrus"	"39 mm [R],  -83 mm [P],   29 mm [S] {MNI}"
275	"Right Middle Occipital Gyrus"	"31 mm [R],  -74 mm [P],   31 mm [S] {MNI}"
276	"Right Postcentral Gyrus"	"56 mm [R],  -25 mm [P],   46 mm [S] {MNI}"
277	"Right Superior Parietal Lobule"	"16 mm [R],  -83 mm [P],   48 mm [S] {MNI}"
278	"Right Inferior Parietal Lobule"	"40 mm [R],  -45 mm [P],   55 mm [S] {MNI}"
279	"Right Postcentral Gyrus"	"41 mm [R],  -32 mm [P],   48 mm [S] {MNI}"
280	"Right Superior Parietal Lobule"	"32 mm [R],  -71 mm [P],   48 mm [S] {MNI}"
281	"Right Inferior Parietal Lobule"	"34 mm [R],  -55 mm [P],   49 mm [S] {MNI}"
282	"Right Superior Parietal Lobule"	"20 mm [R],  -74 mm [P],   51 mm [S] {MNI}"
283	"Right Postcentral Gyrus"	"31 mm [R],  -43 mm [P],   56 mm [S] {MNI}"
284	"Right Angular Gyrus"	"31 mm [R],  -60 mm [P],   53 mm [S] {MNI}"
285	"Right Precuneus"	"6 mm [R],  -72 mm [P],   53 mm [S] {MNI}"
286	"Right Superior Parietal Lobule"	"25 mm [R],  -67 mm [P],   56 mm [S] {MNI}"
287	"Right Precuneus"	"6 mm [R],  -59 mm [P],   62 mm [S] {MNI}"
288	"Right Precuneus"	"13 mm [R],  -71 mm [P],   64 mm [S] {MNI}"
289	"Right Superior Parietal Lobule"	"25 mm [R],  -59 mm [P],   68 mm [S] {MNI}"
290	"Right Middle Frontal Gyrus"	"38 mm [R],   -4 mm [P],   59 mm [S] {MNI}"
291	"Right Superior Frontal Gyrus"	"27 mm [R],   -7 mm [P],   59 mm [S] {MNI}"
292	"Right Superior Frontal Gyrus"	"21 mm [R],   -9 mm [P],   73 mm [S] {MNI}"
293	"Right Inferior Frontal Gyrus (p. Opercularis)"	"49 mm [R],   10 mm [A],   27 mm [S] {MNI}"
294	"Right Middle Temporal Gyrus"	"60 mm [R],  -51 mm [P],   12 mm [S] {MNI}"
295	"Right Superior Temporal Gyrus"	"51 mm [R],  -47 mm [P],   21 mm [S] {MNI}"
296	"Right SupraMarginal Gyrus"	"60 mm [R],  -46 mm [P],   31 mm [S] {MNI}"
297	"Right SupraMarginal Gyrus"	"60 mm [R],  -34 mm [P],   29 mm [S] {MNI}"
298	"Right SupraMarginal Gyrus"	"61 mm [R],  -26 mm [P],   26 mm [S] {MNI}"
299	"Right SupraMarginal Gyrus"	"62 mm [R],  -28 mm [P],   42 mm [S] {MNI}"
300	"Right SupraMarginal Gyrus"	"61 mm [R],  -36 mm [P],   45 mm [S] {MNI}"
301	"Right Precentral Gyrus"	"51 mm [R],    3 mm [A],   44 mm [S] {MNI}"
302	"Within 1 mm: Right Temporal Pole"	"39 mm [R],    7 mm [A],  -18 mm [I] {MNI}"
303	"Right Insula Lobe"	"40 mm [R],    9 mm [A],   -4 mm [I] {MNI}"
304	"Right Insula Lobe"	"40 mm [R],  -10 mm [P],   -5 mm [I] {MNI}"
305	"Right Insula Lobe"	"39 mm [R],   -0 mm [P],    6 mm [S] {MNI}"
306	"Right Insula Lobe"	"36 mm [R],   23 mm [A],    3 mm [S] {MNI}"
307	"Right Insula Lobe"	"38 mm [R],    7 mm [A],   11 mm [S] {MNI}"
308	"Right Insula Lobe"	"49 mm [R],    5 mm [A],    3 mm [S] {MNI}"
309	"Right Inferior Frontal Gyrus (p. Opercularis)"	"54 mm [R],   11 mm [A],   11 mm [S] {MNI}"
310	"Right Middle Frontal Gyrus"	"31 mm [R],   49 mm [A],   25 mm [S] {MNI}"
311	"Right Middle Cingulate Cortex"	"6 mm [R],   19 mm [A],   36 mm [S] {MNI}"
312	"Right Middle Cingulate Cortex"	"5 mm [R],    3 mm [A],   43 mm [S] {MNI}"
313	"Right Middle Cingulate Cortex"	"10 mm [R],  -38 mm [P],   48 mm [S] {MNI}"
314	"Right SMA"	"4 mm [R],    7 mm [A],   60 mm [S] {MNI}"
315	"Right Precuneus"	"8 mm [R],  -47 mm [P],   60 mm [S] {MNI}"
316	"Right Paracentral Lobule"	"9 mm [R],  -34 mm [P],   56 mm [S] {MNI}"
317	"Right SMA"	"4 mm [R],   -5 mm [P],   67 mm [S] {MNI}"
318	"Right SMA"	"13 mm [R],    0 mm [A],   76 mm [S] {MNI}"
319	"Right Rectal Gyrus"	"11 mm [R],   26 mm [A],  -23 mm [I] {MNI}"
320	"Right Inferior Frontal Gyrus (p. Orbitalis)"	"21 mm [R],   23 mm [A],  -23 mm [I] {MNI}"
321	"Within 2 mm: Right Rectal Gyrus"	"5 mm [R],   49 mm [A],  -27 mm [I] {MNI}"
322	"Right Superior Orbital Gyrus"	"17 mm [R],   46 mm [A],  -21 mm [I] {MNI}"
323	"Right Rectal Gyrus"	"2 mm [R],   24 mm [A],  -24 mm [I] {MNI}"
324	"Within 1 mm: Right Rectal Gyrus"	"6 mm [R],   64 mm [A],  -21 mm [I] {MNI}"
325	"Right Fusiform Gyrus"	"25 mm [R],   -2 mm [P],  -42 mm [I] {MNI}"
326	"Right Inferior Temporal Gyrus"	"48 mm [R],   -8 mm [P],  -42 mm [I] {MNI}"
327	"Right Medial Temporal Pole"	"35 mm [R],   17 mm [A],  -40 mm [I] {MNI}"
328	"Right Fusiform Gyrus"	"38 mm [R],  -15 mm [P],  -32 mm [I] {MNI}"
329	"Right Temporal Pole"	"27 mm [R],   13 mm [A],  -34 mm [I] {MNI}"
330	"Right Inferior Temporal Gyrus"	"48 mm [R],  -29 mm [P],  -27 mm [I] {MNI}"
331	"Within 1 mm: Right ParaHippocampal Gyrus"	"21 mm [R],  -18 mm [P],  -28 mm [I] {MNI}"
332	"Right Angular Gyrus"	"50 mm [R],  -60 mm [P],   47 mm [S] {MNI}"
333	"Right Inferior Parietal Lobule"	"52 mm [R],  -46 mm [P],   52 mm [S] {MNI}"
334	"Right Superior Occipital Gyrus"	"33 mm [R],  -78 mm [P],   44 mm [S] {MNI}"
335	"Right Inferior Parietal Lobule"	"51 mm [R],  -37 mm [P],   56 mm [S] {MNI}"
336	"Right Inferior Parietal Lobule"	"42 mm [R],  -55 mm [P],   49 mm [S] {MNI}"
337	"Right Angular Gyrus"	"38 mm [R],  -65 mm [P],   51 mm [S] {MNI}"
338	"Right Inferior Temporal Gyrus"	"60 mm [R],  -33 mm [P],  -20 mm [I] {MNI}"
339	"Right Inferior Temporal Gyrus"	"61 mm [R],  -45 mm [P],  -12 mm [I] {MNI}"
340	"Right Insula Lobe"	"33 mm [R],   21 mm [A],  -11 mm [I] {MNI}"
341	"Right Middle Orbital Gyrus"	"24 mm [R],   56 mm [A],  -18 mm [I] {MNI}"
342	"Right Middle Orbital Gyrus"	"40 mm [R],   54 mm [A],  -13 mm [I] {MNI}"
343	"Right Superior Orbital Gyrus"	"23 mm [R],   64 mm [A],   -8 mm [I] {MNI}"
344	"Right Inferior Frontal Gyrus (p. Orbitalis)"	"48 mm [R],   42 mm [A],   -4 mm [I] {MNI}"
345	"Right Middle Frontal Gyrus"	"40 mm [R],   50 mm [A],   10 mm [S] {MNI}"
346	"Right Inferior Frontal Gyrus (p. Triangularis)"	"49 mm [R],   33 mm [A],   14 mm [S] {MNI}"
347	"Right Inferior Frontal Gyrus (p. Triangularis)"	"48 mm [R],   17 mm [A],   25 mm [S] {MNI}"
348	"Right Superior Frontal Gyrus"	"22 mm [R],   62 mm [A],   18 mm [S] {MNI}"
349	"Right Inferior Frontal Gyrus (p. Triangularis)"	"47 mm [R],   31 mm [A],   27 mm [S] {MNI}"
350	"Right Middle Frontal Gyrus"	"40 mm [R],    8 mm [A],   37 mm [S] {MNI}"
351	"Right Middle Frontal Gyrus"	"37 mm [R],   30 mm [A],   42 mm [S] {MNI}"
352	"Right Middle Frontal Gyrus"	"43 mm [R],   16 mm [A],   48 mm [S] {MNI}"
353	"Right Middle Frontal Gyrus"	"42 mm [R],    3 mm [A],   55 mm [S] {MNI}"
354	"Right Middle Frontal Gyrus"	"33 mm [R],   11 mm [A],   61 mm [S] {MNI}"
355	"Right Superior Frontal Gyrus"	"21 mm [R],    0 mm [A],   67 mm [S] {MNI}"
356	"Right Cuneus"	"12 mm [R],  -73 mm [P],   39 mm [S] {MNI}"
357	"Right Precuneus"	"3 mm [R],  -68 mm [P],   43 mm [S] {MNI}"
358	"Right Middle Cingulate Cortex"	"5 mm [R],  -26 mm [P],   30 mm [S] {MNI}"
359	"Right Middle Cingulate Cortex"	"4 mm [R],    4 mm [A],   31 mm [S] {MNI}"
360	"Right Anterior Cingulate Cortex"	"6 mm [R],   34 mm [A],   27 mm [S] {MNI}"
361	"Right SMA"	"4 mm [R],   21 mm [A],   53 mm [S] {MNI}"
362	"Right Angular Gyrus"	"51 mm [R],  -54 mm [P],   30 mm [S] {MNI}"
363	"Right Middle Temporal Gyrus"	"46 mm [R],  -73 mm [P],   21 mm [S] {MNI}"
364	"Right Angular Gyrus"	"50 mm [R],  -63 mm [P],   31 mm [S] {MNI}"
365	"Right Inferior Parietal Lobule"	"53 mm [R],  -50 mm [P],   40 mm [S] {MNI}"
366	"Right Angular Gyrus"	"42 mm [R],  -74 mm [P],   42 mm [S] {MNI}"
367	"Right Inferior Temporal Gyrus"	"47 mm [R],    9 mm [A],  -38 mm [I] {MNI}"
368	"Right Middle Temporal Gyrus"	"61 mm [R],  -11 mm [P],  -24 mm [I] {MNI}"
369	"Right Temporal Pole"	"46 mm [R],   18 mm [A],  -23 mm [I] {MNI}"
370	"Right Middle Temporal Gyrus"	"54 mm [R],   -4 mm [P],  -16 mm [I] {MNI}"
371	"Right Middle Temporal Gyrus"	"63 mm [R],  -30 mm [P],   -5 mm [I] {MNI}"
372	"Within 1 mm: Right Superior Temporal Gyrus"	"48 mm [R],  -23 mm [P],   -5 mm [I] {MNI}"
373	"Right Middle Temporal Gyrus"	"63 mm [R],  -44 mm [P],    4 mm [S] {MNI}"
374	"Right Middle Temporal Gyrus"	"50 mm [R],  -38 mm [P],    6 mm [S] {MNI}"
375	"Right Insula Lobe"	"32 mm [R],   23 mm [A],  -20 mm [I] {MNI}"
376	"Right Middle Orbital Gyrus"	"32 mm [R],   39 mm [A],  -16 mm [I] {MNI}"
377	"Right Inferior Frontal Gyrus (p. Orbitalis)"	"45 mm [R],   32 mm [A],  -13 mm [I] {MNI}"
378	"Right Inferior Frontal Gyrus (p. Triangularis)"	"53 mm [R],   24 mm [A],    5 mm [S] {MNI}"
379	"Right Mid Orbital Gyrus"	"3 mm [R],   37 mm [A],  -14 mm [I] {MNI}"
380	"Right Mid Orbital Gyrus"	"6 mm [R],   68 mm [A],  -10 mm [I] {MNI}"
381	"Right Anterior Cingulate Cortex"	"6 mm [R],   42 mm [A],    2 mm [S] {MNI}"
382	"Right Superior Medial Gyrus"	"5 mm [R],   55 mm [A],    6 mm [S] {MNI}"
383	"Right Superior Medial Gyrus"	"13 mm [R],   70 mm [A],    3 mm [S] {MNI}"
384	"Right Anterior Cingulate Cortex"	"4 mm [R],   26 mm [A],   19 mm [S] {MNI}"
385	"Right Superior Medial Gyrus"	"4 mm [R],   62 mm [A],   24 mm [S] {MNI}"
386	"Right Superior Frontal Gyrus"	"14 mm [R],   57 mm [A],   34 mm [S] {MNI}"
387	"Left Superior Medial Gyrus"	"3 mm [R],   41 mm [A],   42 mm [S] {MNI}"
388	"Right Middle Frontal Gyrus"	"25 mm [R],   30 mm [A],   46 mm [S] {MNI}"
389	"Right Superior Medial Gyrus"	"11 mm [R],   36 mm [A],   57 mm [S] {MNI}"
390	"Right Superior Frontal Gyrus"	"21 mm [R],   19 mm [A],   60 mm [S] {MNI}"
391	"Right SMA"	"9 mm [R],   12 mm [A],   70 mm [S] {MNI}"
392	"Right Precuneus"	"12 mm [R],  -55 mm [P],   17 mm [S] {MNI}"
393	"Right Posterior Cingulate Cortex"	"7 mm [R],  -45 mm [P],   21 mm [S] {MNI}"
394	"Right Precuneus"	"15 mm [R],  -64 mm [P],   29 mm [S] {MNI}"
395	"Right Precuneus"	"5 mm [R],  -53 mm [P],   25 mm [S] {MNI}"
396	"Left Precuneus"	"3 mm [R],  -65 mm [P],   32 mm [S] {MNI}"
397	"Right Middle Cingulate Cortex"	"6 mm [R],  -42 mm [P],   38 mm [S] {MNI}"
398	"Right Middle Cingulate Cortex"	"2 mm [R],  -20 mm [P],   40 mm [S] {MNI}"
399	"Right Precuneus"	"7 mm [R],  -55 mm [P],   38 mm [S] {MNI}"
400	"Right Precuneus"	"5 mm [R],  -54 mm [P],   49 mm [S] {MNI}"
401	"Left Hippocampus"	"-25 mm [L],   -5 mm [P],  -22 mm [I] {MNI}"
402	"Right Hippocampus"	"25 mm [R],   -3 mm [P],  -22 mm [I] {MNI}"
403	"Left Amygdala"	"-20 mm [L],   -6 mm [P],  -15 mm [I] {MNI}"
404	"Right Hippocampus"	"19 mm [R],   -5 mm [P],  -15 mm [I] {MNI}"
405	"Left Thalamus"	"-10 mm [L],  -14 mm [P],    7 mm [S] {MNI}"
406	"Left Thalamus"	"-18 mm [L],  -17 mm [P],    8 mm [S] {MNI}"
407	"Left Thalamus"	"-21 mm [L],  -27 mm [P],    5 mm [S] {MNI}"
408	"Left Thalamus"	"-11 mm [L],  -23 mm [P],   10 mm [S] {MNI}"
409	"Right Thalamus"	"9 mm [R],  -13 mm [P],    7 mm [S] {MNI}"
410	"Right Thalamus"	"17 mm [R],  -16 mm [P],    7 mm [S] {MNI}"
411	"Right Thalamus"	"20 mm [R],  -26 mm [P],    4 mm [S] {MNI}"
412	"Right Thalamus"	"10 mm [R],  -20 mm [P],   11 mm [S] {MNI}"
413	"Left Putamen"	"-31 mm [L],   -9 mm [P],    3 mm [S] {MNI}"
414	"Left Putamen"	"-27 mm [L],    2 mm [A],    6 mm [S] {MNI}"
415	"Left Putamen"	"-13 mm [L],   12 mm [A],   -8 mm [I] {MNI}"
416	"Left Putamen"	"-21 mm [L],    5 mm [A],    5 mm [S] {MNI}"
417	"Left Putamen"	"-16 mm [L],   11 mm [A],    2 mm [S] {MNI}"
418	"Right Putamen"	"29 mm [R],   -7 mm [P],    1 mm [S] {MNI}"
419	"Right Putamen"	"25 mm [R],    4 mm [A],    4 mm [S] {MNI}"
420	"Right Caudate Nucleus"	"11 mm [R],   13 mm [A],   -8 mm [I] {MNI}"
421	"Within 1 mm: Right Pallidum"	"18 mm [R],    8 mm [A],    6 mm [S] {MNI}"
422	"Right Caudate Nucleus"	"11 mm [R],   17 mm [A],    1 mm [S] {MNI}"
