"roi"	"label"	"coordinates"
214	"Left Middle Frontal Gyrus"	"-28 mm [L],   52 mm [A],   21 mm [S] {MNI}"
215	"Left Anterior Cingulate Cortex"	"0 mm [L],   30 mm [A],   27 mm [S] {MNI}"
216	"Right Middle Cingulate Cortex"	"5 mm [R],   23 mm [A],   37 mm [S] {MNI}"
217	"Right Anterior Cingulate Cortex"	"10 mm [R],   22 mm [A],   27 mm [S] {MNI}"
218	"Right Superior Frontal Gyrus"	"31 mm [R],   56 mm [A],   14 mm [S] {MNI}"
219	"Right Middle Frontal Gyrus"	"26 mm [R],   50 mm [A],   27 mm [S] {MNI}"
220	"Left Middle Frontal Gyrus"	"-39 mm [L],   51 mm [A],   17 mm [S] {MNI}"
221	"Right Middle Cingulate Cortex"	"2 mm [R],  -24 mm [P],   30 mm [S] {MNI}"
222	"Right Thalamus"	"6 mm [R],  -24 mm [P],    0 mm [S] {MNI}"
223	"Left Thalamus"	"-2 mm [L],  -13 mm [P],   12 mm [S] {MNI}"
224	"Left Thalamus"	"-10 mm [L],  -18 mm [P],    7 mm [S] {MNI}"
225	"Right Thalamus"	"12 mm [R],  -17 mm [P],    8 mm [S] {MNI}"
226	"Within 3 mm: Left Thalamus"	"-5 mm [L],  -28 mm [P],   -4 mm [I] {MNI}"
227	"Left Putamen"	"-22 mm [L],    7 mm [A],   -5 mm [I] {MNI}"
228	"Left Caudate Nucleus"	"-13 mm [L],   11 mm [A],   12 mm [S] {MNI}"
229	"Right Putamen"	"31 mm [R],  -14 mm [P],    2 mm [S] {MNI}"
230	"Right Putamen"	"23 mm [R],   10 mm [A],    1 mm [S] {MNI}"
231	"Right Putamen"	"29 mm [R],    1 mm [A],    4 mm [S] {MNI}"
232	"Left Putamen"	"-31 mm [L],  -11 mm [P],    0 mm [S] {MNI}"
233	"Right Caudate Nucleus"	"13 mm [R],   13 mm [A],   12 mm [S] {MNI}"
234	"Within 1 mm: Right Thalamus"	"9 mm [R],   -4 mm [P],    6 mm [S] {MNI}"
235	"Right Superior Temporal Gyrus"	"54 mm [R],  -43 mm [P],   22 mm [S] {MNI}"
236	"Left Middle Temporal Gyrus"	"-56 mm [L],  -50 mm [P],   10 mm [S] {MNI}"
237	"Left Superior Temporal Gyrus"	"-55 mm [L],  -40 mm [P],   14 mm [S] {MNI}"
238	"Right Superior Temporal Gyrus"	"52 mm [R],  -33 mm [P],    8 mm [S] {MNI}"
239	"Right Middle Temporal Gyrus"	"51 mm [R],  -29 mm [P],   -4 mm [I] {MNI}"
240	"Right Middle Temporal Gyrus"	"56 mm [R],  -46 mm [P],   11 mm [S] {MNI}"
241	"Right Inferior Frontal Gyrus (p. Triangularis)"	"53 mm [R],   33 mm [A],    1 mm [S] {MNI}"
242	"Left Inferior Frontal Gyrus (p. Triangularis)"	"-49 mm [L],   25 mm [A],   -1 mm [I] {MNI}"
243	"Left Cerebellum"	"-16 mm [L],  -65 mm [P],  -20 mm [I] {MNI}"
244	"Left Cerebellum"	"-32 mm [L],  -55 mm [P],  -25 mm [I] {MNI}"
245	"Right Cerebellum"	"22 mm [R],  -58 mm [P],  -23 mm [I] {MNI}"
246	"Cerebellar Vermis"	"1 mm [R],  -62 mm [P],  -18 mm [I] {MNI}"
247	"Right Fusiform Gyrus"	"33 mm [R],  -12 mm [P],  -34 mm [I] {MNI}"
248	"Right Precuneus"	"10 mm [R],  -62 mm [P],   61 mm [S] {MNI}"
249	"Left Middle Temporal Gyrus"	"-52 mm [L],  -63 mm [P],    5 mm [S] {MNI}"
250	"Left Inferior Temporal Gyrus"	"-47 mm [L],  -51 mm [P],  -21 mm [I] {MNI}"
251	"Right Inferior Temporal Gyrus"	"46 mm [R],  -47 mm [P],  -17 mm [I] {MNI}"
252	"Right Postcentral Gyrus"	"47 mm [R],  -30 mm [P],   49 mm [S] {MNI}"
253	"Right Superior Parietal Lobule"	"22 mm [R],  -65 mm [P],   48 mm [S] {MNI}"
254	"Right Middle Temporal Gyrus"	"46 mm [R],  -59 mm [P],    4 mm [S] {MNI}"
255	"Right Superior Parietal Lobule"	"25 mm [R],  -58 mm [P],   60 mm [S] {MNI}"
256	"Left Inferior Parietal Lobule"	"-33 mm [L],  -46 mm [P],   47 mm [S] {MNI}"
257	"Left Middle Occipital Gyrus"	"-27 mm [L],  -71 mm [P],   37 mm [S] {MNI}"
258	"Left Precentral Gyrus"	"-32 mm [L],   -1 mm [P],   54 mm [S] {MNI}"
259	"Left Inferior Temporal Gyrus"	"-42 mm [L],  -60 mm [P],   -9 mm [I] {MNI}"
260	"Left Superior Parietal Lobule"	"-17 mm [L],  -59 mm [P],   64 mm [S] {MNI}"
261	"RightPrecentral Gyrus"	"29 mm [R],   -5 mm [P],   54 mm [S] {MNI}"
262	"Right Amygdala"	"23 mm [R],   -2 mm [P],  -19 mm [I] {MNI}"
263	"Left Amygdala"	"-23 mm [L],   -3 mm [P],  -18 mm [I] {MNI}"
264	"Right Mid Orbital Gyrus"	"2 mm [R],   24 mm [A],  -13 mm [I] {MNI}"
